Year,Month,Day,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Predict RainToday
2008,12,16,Albury,15.582797167471849,27.7,0.5473833097595474,7.0789592760181,8.629675810473815,NW,42.868197691471956,NW,SE,14.798727508726298,20.96221603931264,63.987722405648405,51.25268803930266,1013.4,1010.3,4.840393908168023,4.6462052691943185,17.3,26.2,,0.0,0.0
2009,9,11,Albury,9.525503086735565,18.8,0.5690652818991098,5.003107658157603,7.658430913348947,N,45.28728544479167,N,N,16.936246782948892,22.183698433031726,62.132882544077354,48.52521048044859,1022.2,1018.2,3.9035822775842224,4.100017702141959,8.7,18.1,,0.0,0.0
2010,2,10,Albury,18.185265457967663,35.6,0.48546325878594254,7.270308788598575,8.643391521197008,SE,42.467345296801064,E,SE,14.853849772859004,19.816415953087265,67.91121226986047,51.18084345439351,1018.8,1014.7,4.420502015177652,4.614974829014165,25.2,32.9,,0.0,0.0
2010,2,12,Albury,18.185265457967663,29.1,0.48546325878594254,7.270308788598575,8.643391521197008,SE,42.467345296801064,E,SE,14.853849772859004,19.816415953087265,67.91121226986047,51.18084345439351,1008.5,1007.8,4.420502015177652,4.614974829014165,23.4,26.4,,0.0,0.0
2010,2,18,Albury,18.185265457967663,31.2,0.48546325878594254,7.270308788598575,8.643391521197008,SE,42.467345296801064,E,SE,14.853849772859004,19.816415953087265,67.91121226986047,51.18084345439351,1020.4,1019.1,4.420502015177652,4.614974829014165,21.0,30.0,,0.0,0.0
2010,2,27,Albury,18.185265457967663,26.3,0.48546325878594254,7.270308788598575,8.643391521197008,SE,42.467345296801064,E,SE,14.853849772859004,19.816415953087265,67.91121226986047,51.18084345439351,1019.4,1018.3,4.420502015177652,4.614974829014165,20.8,24.8,,1.0,0.0
2010,3,2,Albury,16.14688971553367,28.5,0.4416068866571019,5.8822459893048125,7.680978260869566,SE,39.155833802209855,SE,SE,13.529103689280916,18.33744045661422,70.13752826127062,49.80140595390916,1019.3,1015.4,4.434312283379147,4.46485876449061,16.6,26.5,,0.0,0.0
2010,3,11,Albury,16.14688971553367,24.4,0.4416068866571019,5.8822459893048125,7.680978260869566,SE,39.155833802209855,SE,SE,13.529103689280916,18.33744045661422,70.13752826127062,49.80140595390916,1031.4,1030.2,4.434312283379147,4.46485876449061,15.2,22.8,,0.0,0.0
2010,8,5,Albury,7.094363777270866,11.8,0.6215107913669065,3.093729003359462,6.726136363636364,N,41.4797696461747,N,W,14.820512205307038,19.49734197336089,72.32814489417812,54.77665483493011,1019.5,1018.3,4.276713712718699,4.543344504632117,6.7,11.3,,0.0,0.0
2011,9,11,Albury,8.930564701080357,20.595156591405683,0.4864343958487769,4.853231492361927,7.9849101796407185,N,43.637365769056295,N,W,15.66431924882629,20.789401984812425,62.904670646782954,48.559777586519225,1018.8466081404628,1015.980429594272,3.754463025551465,3.858812558091139,15.140051395007342,19.02807917888563,,,0.0
2011,9,12,Albury,8.930564701080357,20.595156591405683,0.4864343958487769,4.853231492361927,7.9849101796407185,N,43.637365769056295,N,W,15.66431924882629,20.789401984812425,62.904670646782954,48.559777586519225,1018.8466081404628,1015.980429594272,3.754463025551465,3.858812558091139,15.140051395007342,19.02807917888563,,,0.0
2011,9,13,Albury,8.930564701080357,15.8,0.4864343958487769,4.853231492361927,7.9849101796407185,N,43.637365769056295,N,W,15.66431924882629,20.789401984812425,62.904670646782954,48.559777586519225,1018.8466081404628,1023.9,3.754463025551465,3.858812558091139,15.140051395007342,15.1,,,0.0
2011,9,14,Albury,8.930564701080357,20.8,0.4864343958487769,4.853231492361927,7.9849101796407185,N,43.637365769056295,N,W,15.66431924882629,20.789401984812425,62.904670646782954,48.559777586519225,1021.7,1018.3,3.754463025551465,3.858812558091139,9.4,20.6,,0.0,0.0
