"Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","Predict.RainToday","R_predicted_RainToday"
2008,12,16,"Albury",15.5827971674718,27.7,0.547383309759547,7.0789592760181,8.62967581047381,"NW",42.868197691472,"NW","SE",14.7987275087263,20.9622160393126,63.9877224056484,51.2526880393027,1013.4,1010.3,4.84039390816802,4.64620526919432,17.3,26.2,NA,0,0,"0"
2009,9,11,"Albury",9.52550308673556,18.8,0.56906528189911,5.0031076581576,7.65843091334895,"N",45.2872854447917,"N","N",16.9362467829489,22.1836984330317,62.1328825440774,48.5252104804486,1022.2,1018.2,3.90358227758422,4.10001770214196,8.7,18.1,NA,0,0,"0"
2010,2,10,"Albury",18.1852654579677,35.6,0.485463258785943,7.27030878859857,8.64339152119701,"SE",42.4673452968011,"E","SE",14.853849772859,19.8164159530873,67.9112122698605,51.1808434543935,1018.8,1014.7,4.42050201517765,4.61497482901417,25.2,32.9,NA,0,0,"0"
2010,2,12,"Albury",18.1852654579677,29.1,0.485463258785943,7.27030878859857,8.64339152119701,"SE",42.4673452968011,"E","SE",14.853849772859,19.8164159530873,67.9112122698605,51.1808434543935,1008.5,1007.8,4.42050201517765,4.61497482901417,23.4,26.4,NA,0,0,"0"
2010,2,18,"Albury",18.1852654579677,31.2,0.485463258785943,7.27030878859857,8.64339152119701,"SE",42.4673452968011,"E","SE",14.853849772859,19.8164159530873,67.9112122698605,51.1808434543935,1020.4,1019.1,4.42050201517765,4.61497482901417,21,30,NA,0,0,"0"
2010,2,27,"Albury",18.1852654579677,26.3,0.485463258785943,7.27030878859857,8.64339152119701,"SE",42.4673452968011,"E","SE",14.853849772859,19.8164159530873,67.9112122698605,51.1808434543935,1019.4,1018.3,4.42050201517765,4.61497482901417,20.8,24.8,NA,1,0,"0"
2010,3,2,"Albury",16.1468897155337,28.5,0.441606886657102,5.88224598930481,7.68097826086957,"SE",39.1558338022099,"SE","SE",13.5291036892809,18.3374404566142,70.1375282612706,49.8014059539092,1019.3,1015.4,4.43431228337915,4.46485876449061,16.6,26.5,NA,0,0,"0"
2010,3,11,"Albury",16.1468897155337,24.4,0.441606886657102,5.88224598930481,7.68097826086957,"SE",39.1558338022099,"SE","SE",13.5291036892809,18.3374404566142,70.1375282612706,49.8014059539092,1031.4,1030.2,4.43431228337915,4.46485876449061,15.2,22.8,NA,0,0,"0"
2010,8,5,"Albury",7.09436377727087,11.8,0.621510791366906,3.09372900335946,6.72613636363636,"N",41.4797696461747,"N","W",14.820512205307,19.4973419733609,72.3281448941781,54.7766548349301,1019.5,1018.3,4.2767137127187,4.54334450463212,6.7,11.3,NA,0,0,"0"
2011,9,11,"Albury",8.93056470108036,20.5951565914057,0.486434395848777,4.85323149236193,7.98491017964072,"N",43.6373657690563,"N","W",15.6643192488263,20.7894019848124,62.904670646783,48.5597775865192,1018.84660814046,1015.98042959427,3.75446302555146,3.85881255809114,15.1400513950073,19.0280791788856,NA,NA,0,"0"
